tech_id,level_id,question_text,option_a,option_b,option_c,option_d,correct_option
11,3,What is the purpose of the `flex-grow` property in CSS Flexbox?,It defines the default size of an element.,It controls how much a flex item will grow relative to the rest of the flex items.,It sets the flex direction.,It defines the alignment of flex items.,It controls how much a flex item will grow relative to the rest of the flex items.
11,3,How can you apply a style only for screens wider than 800px?,@media screen and (min-width: 800px) {...},@media screen and (max-width: 800px) {...},@media (min-width: 800px) {...},@media (width > 800px) {...},@media screen and (min-width: 800px) {...}.
11,3,What does the `calc()` function do in CSS?,It performs calculations to determine CSS property values.,It calculates the length of an element.,It adjusts the size of an element.,It retrieves dimensions from the DOM.,It performs calculations to determine CSS property values.
11,3,What is the `:root` pseudo-class used for in CSS?,It matches the document's root element.,It selects the first child of a parent element.,It targets the body of the document.,It applies styles globally.,It matches the document's root element.
11,3,What is the difference between `padding` and `margin` in CSS?,Padding adds space inside an element, while margin adds space outside.,Padding adds space outside an element, while margin adds space inside.,Both add space inside an element.,Both add space outside an element.,Padding adds space inside an element, while margin adds space outside.
11,3,What does the `z-index` property control in CSS?,The stacking order of positioned elements.,The alignment of elements.,The visibility of elements.,The size of elements.,The stacking order of positioned elements.
11,3,How do you create a CSS variable?,--variable-name: value;,var(--variable-name: value;);,set --variable-name: value;,define --variable-name: value;,--variable-name: value;.
11,3,What does the `display: grid;` property do in CSS?,It enables a grid layout for an element.,It sets the display type of an element.,It makes an element inline.,It defines a flex container.,It enables a grid layout for an element.
11,3,What is the purpose of the `@keyframes` rule in CSS?,It defines animations for elements.,It sets media queries.,It creates CSS variables.,It applies styles globally.,It defines animations for elements.
11,3,How can you center an element horizontally with CSS?,Set margin: auto;.,Set text-align: center;.,Use position: absolute;.,Set display: flex; and justify-content: center;.,Set margin: auto;.
11,3,What is the difference between `inline`, `block`, and `inline-block` elements?,Inline elements do not start on a new line; block elements do.,Inline elements can have width and height; block elements cannot.,Inline-block elements cannot have margins.,Block elements can have padding; inline elements cannot.,Inline elements do not start on a new line; block elements do.
11,3,What does the `object-fit` property do in CSS?,It specifies how an `<img>` or `<video>` should be resized to fit its container.,It adjusts the height of an element.,It controls the visibility of an element.,It sets the opacity of an element.,It specifies how an `<img>` or `<video>` should be resized to fit its container.
11,3,How do you use the `:nth-of-type()` pseudo-class?,It selects elements based on their type and order.,It selects all child elements of a specific type.,It applies styles to the last child of an element.,It selects elements based on their class.,It selects elements based on their type and order.
11,3,What does the `flex-shrink` property do in CSS?,It defines how much a flex item will shrink relative to the rest.,It sets the minimum size of a flex item.,It adjusts the order of flex items.,It defines the direction of flex items.,It defines how much a flex item will shrink relative to the rest.
11,3,How can you create a CSS transition effect?,Use transition: property duration timing-function.,Use transition-effect: property duration timing-function.,Use transition: property timing-function duration.,Use transition-property: property duration;,Use transition: property duration timing-function.
11,3,What is the `overflow` property used for in CSS?,It controls what happens when content overflows an element's box.,It sets the visibility of an element.,It adjusts the size of an element.,It defines the alignment of an element.,It controls what happens when content overflows an element's box.
11,3,How do you create a responsive layout in CSS?,Use media queries to adjust styles based on screen size.,Use fixed pixel values for widths.,Avoid using percentages.,Set a maximum width for all elements.,Use media queries to adjust styles based on screen size.
11,3,What does the `flex-basis` property do in CSS?,It defines the initial size of a flex item.,It sets the maximum size of a flex item.,It determines the order of flex items.,It defines the alignment of flex items.,It defines the initial size of a flex item.
11,3,How can you apply multiple classes to an HTML element?,class="class1 class2",class1, class2,class1 class2,class1 + class2,class1; class2;.
11,3,What is the difference between absolute and relative positioning in CSS?,Absolute positioning removes an element from the document flow; relative does not.,Relative positioning removes an element from the document flow; absolute does not.,Both are the same; it just depends on the browser.,Relative positioning does not allow z-index; absolute does.,Absolute positioning removes an element from the document flow; relative does not.
11,3,What does the `transition-delay` property do?,It sets a delay before the transition starts.,It specifies the duration of the transition.,It controls the timing function of the transition.,It sets the speed of the transition.,It sets a delay before the transition starts.
11,3,How can you create a responsive navigation menu in CSS?,Use flexbox or grid layout and media queries.,Set fixed widths for each item.,Avoid using dropdowns.,Use only absolute positioning.,Use flexbox or grid layout and media queries.
11,3,What is the purpose of the `position: sticky;` property?,It allows an element to stick to a specific position in the viewport.,It sets the position of an element relative to its parent.,It makes an element float to the left or right.,It positions an element at the top of the document.,It allows an element to stick to a specific position in the viewport.
11,3,How can you control the visibility of an element without removing it from the document flow?,Use visibility: hidden;.,Use display: none;.,Use opacity: 0;.,Use float: none;.,Use visibility: hidden;.
11,3,What does the `border-radius` property do in CSS?,It rounds the corners of an element.,It sets the width of the border.,It creates a solid border.,It adjusts the margin of an element.,It rounds the corners of an element.
11,3,How can you create a CSS animation that loops infinitely?,Use animation: name duration infinite;,Use animation: name infinite;,Use keyframes to define an infinite loop.,Use animation: name duration 0;,Use animation: name duration infinite;.
11,3,What does the `opacity` property control in CSS?,It sets the transparency level of an element.,It adjusts the visibility of an element.,It controls the position of an element.,It defines the size of an element.,It sets the transparency level of an element.
11,3,How do you use the `:focus` pseudo-class?,It styles an element when it is focused.,It targets an element that has lost focus.,It applies styles when an element is hovered over.,It targets all child elements of an input.,It styles an element when it is focused.
11,3,What is the `flex-direction` property used for in CSS Flexbox?,It sets the direction of flex items in a flex container.,It adjusts the order of flex items.,It defines how much a flex item will grow.,It specifies the alignment of flex items.,It sets the direction of flex items in a flex container.
11,3,How can you apply a filter effect to an image in CSS?,Use filter: effect;.,Use image-filter: effect;.,Use background-filter: effect;.,Use effect: filter;.,Use filter: effect;.
11,3,What does the `min-width` property do in CSS?,It sets the minimum width of an element.,It adjusts the height of an element.,It defines the maximum width of an element.,It sets the width of an element to auto.,It sets the minimum width of an element.
11,3,How do you create a shadow effect on an element in CSS?,Use box-shadow: value;.,Use shadow: value;.,Use set-shadow: value;.,Use border-shadow: value;.,Use box-shadow: value;.
11,3,What is the purpose of the `text-shadow` property in CSS?,It applies a shadow effect to text.,It sets the opacity of text.,It adjusts the size of text.,It changes the font of text.,It applies a shadow effect to text.
11,3,How can you make an element fixed at the top of the viewport?,Use position: fixed; top: 0;.,Use position: absolute; top: 0;.,Use position: sticky; top: 0;.,Use display: block;.,Use position: fixed; top: 0;.
11,3,What does the `grid-template-columns` property do in CSS Grid?,It defines the number and size of columns in a grid layout.,It sets the gap between grid items.,It controls the order of grid items.,It adjusts the alignment of grid items.,It defines the number and size of columns in a grid layout.
11,3,How do you center text vertically within a container?,Use line-height equal to the container's height.,Use text-align: center;.,Use vertical-align: middle;.,Use margin: auto;.,Use line-height equal to the container's height.
11,3,What is the `display: inline-flex;` property used for?,It allows flex items to be displayed inline while still using flexbox properties.,It makes an element inline without flexbox properties.,It creates a block-level flex container.,It sets the display type of an element.,It allows flex items to be displayed inline while still using flexbox properties.
