tech_id,level_id,question_text,option_a,option_b,option_c,option_d,correct_option
10,3,Which HTML5 element is used to specify a footer for a document or section?,<footer>,<bottom>,<section-footer>,<end>,<footer>
10,3,What is the correct HTML element for playing audio files?,<audio>,<sound>,<music>,<media>,<audio>
10,3,How do you properly embed a video in HTML5?,<video src="movie.mp4">,<media src="movie.mp4">,<embed src="movie.mp4">,<link src="movie.mp4">,<video src="movie.mp4">
10,3,What attribute is used to define inline styles in an HTML element?,style,class,id,css,style
10,3,Which HTML tag is used to define an internal style sheet?,<style>,<css>,<script>,<link>,<style>
10,3,What is the purpose of the <canvas> element in HTML5?,To draw graphics,To create animations,To embed multimedia,To define a container for content,To draw graphics
10,3,Which attribute is used to specify that an input field must be filled out before submitting the form?,required,mandatory,validate,confirm,required
10,3,How do you create a hyperlink that opens in a new tab?,<a href="url" target="_blank">,<a href="url" new>,<a href="url" target="new">,<a href="url" tab="_new">,<a href="url" target="_blank">
10,3,Which tag is used to define a section of navigation links?,<nav>,<header>,<footer>,<section>,<nav>
10,3,Which attribute specifies the maximum number of characters in an input field?,maxlength,maxsize,limit,restriction,maxlength
10,3,Which HTML element is used to display a scalar measurement within a range?,<meter>,<progress>,<gauge>,<range>,<meter>
10,3,What is the correct HTML element to define emphasized text?,<em>,<i>,<strong>,<b>,<em>
10,3,Which attribute specifies an alternate text for an image, if the image cannot be displayed?,alt,title,description,src,alt
10,3,How do you define a multi-line text input field in HTML?,<textarea>,<input type="text">,<multiline>,<textfield>,<textarea>
10,3,What is the correct syntax to create a drop-down list in HTML?,<select>,<dropdown>,<list>,<input type="select">,<select>
10,3,Which tag is used to group inline-elements in a document?,<span>,<div>,<group>,<inline>,<span>
10,3,What does the <aside> element represent in HTML5?,A section of content related to the main content,Main content of the page,A section for advertisements,A section for side notes,A section of content related to the main content
10,3,Which element is used to specify a section in a document?,<section>,<div>,<article>,<header>,<section>
10,3,Which tag is used to define an image map?,<map>,<area>,<imgmap>,<maparea>,<map>
10,3,Which HTML attribute specifies the URL of the page the link goes to?,href,src,link,location,href
10,3,What is the purpose of the <details> element in HTML5?,To create a disclosure widget,To define summary information,To group details,To hide details,To create a disclosure widget
10,3,Which HTML attribute specifies the language of the element's content?,lang,xml,locale,charset,lang
10,3,Which element is used to define a table header?,<th>,<thead>,<header>,<td>,<th>
10,3,How do you make a checkbox in HTML?,<input type="checkbox">,<checkbox>,<input type="box">,<box>,<input type="checkbox">
10,3,What does the <figcaption> tag represent in HTML5?,Caption for a figure,Description of a figure,Label for a figure,Title of a figure,Caption for a figure
10,3,Which HTML tag is used to create an ordered list?,<ol>,<ul>,<list>,<order>,<ol>
10,3,What is the correct HTML element for inserting a line break?,<br>,<break>,<lb>,<newline>,<br>
10,3,Which HTML5 element defines important text?,<strong>,<important>,<bold>,<highlight>,<strong>
10,3,How do you properly link a CSS file to an HTML document?,<link rel="stylesheet" href="styles.css">,<style href="styles.css">,<stylesheet link="styles.css">,<css href="styles.css">,<link rel="stylesheet" href="styles.css">
10,3,Which element is used to create a table row in HTML?,<tr>,<td>,<th>,<row>,<tr>
10,3,What is the correct HTML for adding a background color?,<body style="background-color:yellow;">,<background color="yellow">,<body color="yellow">,<color background="yellow">,<body style="background-color:yellow;">
10,3,Which attribute is used to specify a unique identifier for an HTML element?,id,name,class,key,id
10,3,How do you insert an image in HTML?,<img src="image.jpg">,<image src="image.jpg">,<img link="image.jpg">,<src image="image.jpg">,<img src="image.jpg">
10,3,What is the correct HTML element for inserting a comment?,<!-- -->,// <comment>,<note>,<cmt>,<!-- -->
10,3,Which element defines a self-contained piece of content in HTML5?,<article>,<section>,<div>,<content>,<article>
10,3,How can you specify the direction of text in an HTML document?,dir,align,text-direction,flow,dir
10,3,What does the <output> element represent in HTML5?,Result of a calculation,Output from a program,Display for forms,Final content,Result of a calculation
10,3,Which HTML element defines a title for the document?,<title>,<head>,<meta>,<header>,<title>
