tech_id,level_id,question_text,option_a,option_b,option_c,option_d,correct_option
11,2,Which CSS property controls the text size?,font-size,font-weight,font-style,font-variant,font-size
11,2,Which CSS property is used to change the background color?,background-color,color,background-image,border-color,background-color
11,2,Which CSS property is used to align text horizontally?,text-align,vertical-align,text-justify,text-decoration,text-align
11,2,What is the default value of the position property?,static,relative,absolute,fixed,static
11,2,Which CSS property is used to create space around elements?,margin,padding,border,spacing,margin
11,2,Which CSS property defines the space between the element's border and its content?,padding,margin,border,spacing,padding
11,2,Which property is used to control the order of stackable elements?,z-index,order,stacking,position,z-index
11,2,Which CSS function is used to rotate an element?,rotate(),transform(),skew(),rotate-deg(),rotate()
11,2,Which property is used to apply an animation?,animation,transition,animation-name,animation-timing-function,animation
11,2,Which unit represents a percentage of the containing block's width?,vw,px,em,rem,vw
11,2,How do you add rounded corners to an element?,border-radius,border-style,border-width,border-color,border-radius
11,2,Which CSS property allows you to hide an element without removing it from the document?,visibility,display,opacity,z-index,visibility
11,2,Which CSS property sets the transparency of an element?,opacity,visibility,transparent,display,opacity
11,2,What does the float property do?,It moves an element to the left or right of its container.,It sets the position of the element.,It controls the overflow of elements.,It clears the positioning of floated elements.,It moves an element to the left or right of its container.
11,2,Which CSS property specifies whether the text of an element is capitalized?,text-transform,text-decoration,text-align,font-style,text-transform
11,2,Which CSS rule is used to define media queries?,@media,@query,@import,@mediaquery,@media
11,2,Which CSS property defines the spacing between lines of text?,line-height,letter-spacing,word-spacing,text-indent,line-height
11,2,How do you make text bold in CSS?,font-weight:bold;font-style:bold;text-align:bold;text-transform:bold;font-weight:bold;
11,2,Which CSS pseudo-class targets the first child element of its parent?,:first-child,:nth-child,:first,:last-child,:first-child
11,2,Which property is used to control the visibility of the scrollbar?,overflow,scrollbar,scroll-behavior,overflow-x,overflow
11,2,Which of the following is a valid CSS flexbox property?,justify-content,align-text,text-align,float,justify-content
11,2,What is the correct way to apply a CSS transition?,transition:property duration ease;,transition-duration:,transition-effect:,transition-style:,transition:property duration ease;
11,2,How do you create a linear gradient in CSS?,linear-gradient(),gradient(),background-gradient(),create-gradient(),linear-gradient()
11,2,Which property can be used to add shadow to text?,text-shadow,box-shadow,shadow,drop-shadow,text-shadow
11,2,Which CSS property is used to control the space between list items?,list-style-position,list-spacing,list-gap,margin,list-style-position
11,2,How do you select elements with a specific class in CSS?,.classname,#classname,class=classname,@classname,.classname
11,2,Which of the following is the default display property for div elements?,block,inline,inline-block,flex,block
11,2,What does the CSS box-sizing property control?,How the total width and height of an element is calculated.,The size of the element's content.,The element's padding and margin.,The element's display type.,How the total width and height of an element is calculated.
11,2,Which CSS property specifies the stacking order of elements?,z-index,order,stack,position,z-index
11,2,How do you set a CSS rule for hover state?,:hover,:onhover,:mouseover,:hovered,:hover
11,2,Which property is used to define how content overflows an element?,overflow,flow,content-overflow,display-overflow,overflow
11,2,Which CSS property is used to create a gap between columns in a grid layout?,grid-column-gap,column-gap,gap,grid-gap,column-gap
11,2,Which CSS property specifies how an element's content should be clipped?,clip,cut,hide,overflow,clip
11,2,Which CSS property is used to apply a shadow to an element's box?,box-shadow,shadow,element-shadow,drop-shadow,box-shadow
11,2,Which value of the display property hides an element but does not remove it from the document flow?,none,hidden,block,inline,none
11,2,How do you apply a specific font in CSS?,font-family:,font-style:,font-weight:,text-style:,font-family:
11,2,What is the default value of the flex-direction property in CSS Flexbox?,row,column,row-reverse,column-reverse,row
11,2,Which CSS property specifies the speed curve of an animation?,animation-timing-function,animation-duration,animation-delay,animation-direction,animation-timing-function
11,2,Which property sets the space between characters in text?,letter-spacing,word-spacing,line-height,text-spacing,letter-spacing
11,2,How do you make an image responsive using CSS?,max-width:100%;,width:auto;,display:block;,height:auto;,max-width:100%;
11,2,Which CSS property is used to define the width of the border?,border-width,border-style,border-size,border-thickness,border-width
11,2,How do you hide an element in CSS?,display:none;,visibility:hide;,opacity:0;,z-index:-1;,display:none;
11,2,What is the default value of the flex-wrap property in CSS Flexbox?,nowrap,wrap,wrap-reverse,no-wrap,nowrap
11,2,How do you apply styles to an element only when it is in focus?,:focus,:active,:hover,:checked,:focus
11,2,Which CSS property is used to add a shadow to an element?,box-shadow,text-shadow,element-shadow,outline-shadow,box-shadow
11,2,What does the clear property in CSS do?,It specifies which sides of an element cannot be adjacent to floating elements.,It hides the element.,It clears the element's content.,It clears the element's style.,It specifies which sides of an element cannot be adjacent to floating elements.
11,2,Which CSS property is used to specify the alignment of items in a flex container?,align-items,justify-content,align-content,align-self,align-items
11,2,Which CSS property specifies the height of an element?,height,max-height,min-height,line-height,height
11,2,What is the purpose of the CSS z-index property?,It defines the stack order of elements.,It controls the zoom level of an element.,It adjusts the opacity of an element.,It defines the distance between an element and its container.,It defines the stack order of elements.
